,City,Country,Date,Lat,Lng,Max Temp,Clouds,Humidity,Wind Speed
359,Haines Junction,CA,1620875923,60.7522,-137.5108,37.49,64,45,11.5
360,Igaci,BR,1620876291,-9.5369,-36.6336,68.85,82,98,1.25
361,Champerico,GT,1620876291,14.3,-91.9167,69.91,100,71,1.79
362,Douentza,ML,1620876292,14.9951,-2.9517,89.38,67,19,4.07
363,Lagos,NG,1620876292,6.5833,3.75,78.8,63,83,5.79
364,Srandakan,ID,1620876292,-7.9386,110.2506,85.93,93,66,11.83
365,Santa Cruz de la Sierra,BO,1620876293,-17.8,-63.1667,60.6,100,65,7.14
366,Ol'ga,RU,1620875977,43.7444,135.2892,58.03,86,64,8.3
367,Estelle,US,1620876293,29.8458,-90.1067,73.38,90,86,11.5
368,Batemans Bay,AU,1620876294,-35.7167,150.1833,69.85,3,45,0.74
369,Port-Gentil,GA,1620876294,-0.7193,8.7815,81.43,100,81,6.49
370,Caçapava do Sul,BR,1620876295,-30.5122,-53.4914,42.28,0,85,3.31
371,Gao,ML,1620875924,16.6362,1.637,91.58,5,11,5.35
372,Atbasar,KZ,1620876295,51.8,68.3333,61.05,99,38,12.59
373,Bandarbeyla,SO,1620875884,9.4942,50.8122,83.39,100,66,15.68
374,Sikasso,ML,1620876296,10.9167,-7.0,80.91,90,60,5.95
375,Mandera,KE,1620875928,3.9366,41.867,75.88,100,62,14.56
376,Bayan,CN,1620876296,46.0833,127.4,69.24,0,24,16.55
377,Saquarema,BR,1620876296,-22.92,-42.5103,69.94,100,92,15.1
378,Alihe,CN,1620876297,50.5667,123.7167,61.11,15,32,10.69
379,Viking,CA,1620876297,53.1001,-111.7684,50.99,100,41,3.62
380,Arrondissement de Saint-Malo,FR,1620876191,48.5,-1.8333,46.24,7,96,7.67
381,Yaan,NG,1620876297,7.3833,8.5667,75.79,100,91,4.03
382,Natal,BR,1620875937,-5.795,-35.2094,74.86,75,96,7.87
383,Baghdad,IQ,1620876298,33.3406,44.4009,72.88,3,25,4.34
384,Nuevo Progreso,MX,1620876298,23.1667,-97.95,76.62,93,75,4.0
385,Tautira,PF,1620875973,-17.7333,-149.15,86.0,95,79,19.82
386,Richards Bay,ZA,1620876298,-28.783,32.0377,69.03,85,77,1.61
387,Ingham,US,1620876299,42.6,-84.3833,46.63,1,49,5.75
388,Point Fortin,TT,1620876299,10.1833,-61.6833,78.75,41,83,12.93
389,Jinchang,CN,1620876299,38.4953,102.1739,73.85,10,18,12.53
390,Normandin,CA,1620875949,48.8333,-72.5321,46.58,15,53,8.05
391,Verkhoyansk,RU,1620876300,67.5447,133.385,37.9,6,40,1.77
392,La Palma,US,1620876300,33.8464,-118.0467,66.85,20,78,5.01
393,Virginia Beach,US,1620876146,36.8529,-75.978,51.8,75,81,4.61
394,Mosal'sk,RU,1620876300,54.4881,34.9817,44.19,46,94,9.8
395,Vikhorevka,RU,1620876301,56.1201,101.1636,38.52,2,33,5.95
396,Kununurra,AU,1620876301,-15.7667,128.7333,87.3,0,25,12.66
397,Chākuliā,IN,1620876301,22.4833,86.7167,77.38,3,63,4.12
398,Hanzhong,CN,1620876304,33.0728,107.0303,73.58,100,73,3.83
399,Cidreira,BR,1620875885,-30.1811,-50.2056,54.09,0,79,5.61
400,Ozernovskiy,RU,1620876304,51.5,156.5167,35.82,25,84,11.65
401,San Alberto,CO,1620876305,7.7611,-73.3922,76.87,100,82,5.7
402,Coyhaique,CL,1620876305,-45.5752,-72.0662,41.05,0,70,2.3
403,Kenai,US,1620875903,60.5544,-151.2583,53.35,90,50,9.22
404,Oranjemund,NA,1620875914,-28.55,16.4333,57.79,0,73,4.23
405,Paamiut,GL,1620875962,61.994,-49.6678,37.65,38,68,8.88
406,Kambove,CD,1620876306,-10.8764,26.5969,50.65,0,82,3.83
407,Conceição da Barra,BR,1620876306,-18.5933,-39.7322,69.26,41,86,5.3
408,Broken Hill,AU,1620876306,-31.95,141.4333,60.76,56,34,16.11
409,Berlevåg,NO,1620876306,70.8578,29.0864,41.61,100,91,7.18
410,Mazagão,BR,1620876307,-0.115,-51.2894,80.47,100,99,2.68
411,Lata,PT,1620875978,40.1629,-8.3327,51.98,100,84,1.88
412,Arima,TT,1620876307,10.6333,-61.2833,78.35,20,83,0.0
413,Palāsa,IN,1620876307,18.7667,84.4167,88.61,30,69,13.22
414,Lagoa,PT,1620875843,39.05,-27.9833,61.95,16,87,12.95
415,Kupang,ID,1620876308,-10.1667,123.5833,88.99,20,45,23.02
416,Binalbagan,PH,1620876308,10.1948,122.8581,87.76,20,61,7.43
417,Krasnosel'kup,RU,1620875962,65.7,82.4667,41.11,100,79,15.19
418,Rocha,UY,1620875953,-34.4833,-54.3333,45.55,0,77,5.82
419,La Maná,EC,1620876308,-0.9333,-79.2167,43.65,75,86,3.02
420,Berbera,SO,1620876309,10.4396,45.0143,87.73,98,60,7.07
421,Zverinogolovskoye,RU,1620876309,54.4586,64.8542,64.53,91,46,5.3
422,Taoudenni,ML,1620876309,22.6783,-3.9836,87.19,0,8,8.77
423,Kirakira,SB,1620876310,-10.4544,161.9205,84.78,13,68,6.91
424,Cyangugu,RW,1620876310,-2.4846,28.9075,57.56,16,97,0.96
425,Padang,ID,1620875976,-0.9492,100.3543,87.73,99,69,2.44
426,Chui,UY,1620875891,-33.6971,-53.4616,47.82,0,80,6.62
427,Brae,GB,1620875928,60.3964,-1.353,44.49,100,77,14.56
428,San Cristobal,VE,1620875932,7.7669,-72.225,64.96,82,96,3.09
429,Yumen,CN,1620876310,40.2833,97.2,64.81,10,29,20.04
430,Tangzhai,CN,1620876311,34.4328,116.5911,76.01,100,63,6.76
431,Kiama,AU,1620876311,-34.6833,150.8667,75.0,0,60,5.01
432,Zemio,CF,1620876311,5.0314,25.1361,68.23,100,98,2.06
433,Lagan,RU,1620876312,45.3929,47.3707,61.3,0,63,4.83
434,Jaisalmer,IN,1620876312,26.9147,70.9181,84.22,1,53,22.5
435,Kingman,US,1620876209,35.1894,-114.053,81.12,1,1,8.43
436,Akonolinga,CM,1620876313,3.7667,12.25,67.66,95,100,2.57
437,Sakakah,SA,1620876313,29.9697,40.2064,66.94,0,17,6.6
438,San Rafael,AR,1620876313,-34.6177,-68.3301,55.47,49,52,10.09
439,Tabon,PH,1620876314,9.2388,117.9946,88.18,58,64,3.4
440,Alice Springs,AU,1620876315,-23.7,133.8833,67.21,0,21,11.99
441,Mahabalipuram,IN,1620876315,12.6264,80.1722,89.55,100,69,13.56
442,Ukiah,US,1620876315,39.1502,-123.2078,67.75,2,55,3.15
443,Jilib,SO,1620876315,0.4883,42.7854,74.23,99,91,4.54
444,Pinheiro Machado,BR,1620876316,-31.5783,-53.3811,42.22,0,90,2.28
445,Gewanē,ET,1620876316,10.1664,40.6453,81.23,96,51,3.29
446,Vila Velha,BR,1620875899,-20.3297,-40.2925,73.94,0,82,3.0
447,Cap-aux-Meules,CA,1620876316,47.3821,-61.8597,41.0,98,87,17.27
448,Metro,ID,1620876140,-5.1131,105.3067,86.58,95,66,4.99
449,Catuday,PH,1620876317,16.2923,119.8062,86.7,5,60,6.78
450,Anshun,CN,1620876317,26.25,105.9333,74.32,25,62,16.4
451,Ji’an,CN,1620876317,27.1172,114.9793,80.4,88,81,2.35
452,Māngrol,IN,1620876318,21.1167,70.1167,84.78,91,69,11.99
453,Bollnäs,SE,1620876276,61.3482,16.3946,42.39,100,87,2.24
454,Kumul,CN,1620875972,42.8,93.45,57.06,100,46,11.92
455,Maumere,ID,1620876318,-8.6199,122.2111,85.91,99,61,5.75
456,Erzin,TR,1620875904,36.9559,36.2,64.0,1,66,2.48
457,Kuna,US,1620876318,43.4918,-116.4201,63.82,1,34,5.39
458,Muros,ES,1620876319,42.7762,-9.0603,56.84,100,93,15.28
459,Kuchinarai,TH,1620876319,16.541,104.05,95.02,19,54,8.68
460,Mogadishu,SO,1620876319,2.0371,45.3438,80.31,100,81,17.9
461,Rock Sound,BS,1620876320,24.9,-76.2,79.5,65,83,11.61
462,Iqaluit,CA,1620875850,63.7506,-68.5145,32.45,100,80,18.99
463,Assiniboia,CA,1620876320,49.6334,-105.9845,43.16,60,53,6.22
464,Bugiri,UG,1620876320,0.5714,33.7417,61.18,37,93,0.87
465,Nha Trang,VN,1620876321,12.25,109.1833,91.27,51,64,3.96
466,Katsuura,JP,1620875837,35.1333,140.3,66.0,100,93,19.55
467,Hamilton,US,1620876321,39.1834,-84.5333,48.79,1,66,5.82
468,Gorey,IE,1620876321,52.6747,-6.2925,43.48,28,91,3.83
469,Narrabri,AU,1620876322,-30.3167,149.7833,63.73,0,48,8.05
470,Jiwani,PK,1620876322,25.05,61.7417,83.95,22,77,9.46
471,Isabela,PH,1620876323,6.7085,121.9711,87.76,98,74,6.87
472,Novoagansk,RU,1620876323,61.9449,76.6625,47.39,98,56,11.43
473,Sayyan,YE,1620876323,15.1718,44.3244,63.84,77,52,2.89
474,Santa Marta,CO,1620876324,11.2408,-74.199,85.84,75,67,15.01
475,Lakatoro,VU,1620876324,-16.0999,167.4164,80.89,100,81,11.54
476,Northam,GB,1620875952,51.0333,-4.2167,45.3,100,95,8.9
477,Qingquan,CN,1620876325,30.4511,115.2559,80.11,100,70,8.34
478,Mount Vernon,US,1620876162,40.9126,-73.8371,59.63,1,57,8.05
479,Ulladulla,AU,1620876325,-35.35,150.4667,71.22,2,46,4.72
480,Hobyo,SO,1620875846,5.3505,48.5268,80.87,100,69,19.06
481,Benguela,AO,1620876325,-12.5763,13.4055,75.52,5,79,3.76
482,Rengo,CL,1620876325,-34.4167,-70.8667,42.73,37,29,1.21
483,Viedma,AR,1620876326,-40.8135,-62.9967,52.0,0,60,4.5
484,Wanxian,CN,1620876326,30.8039,108.3897,74.97,100,84,3.44
485,Owando,CG,1620876326,-0.4819,15.8999,70.07,29,96,1.66
486,Chicago,US,1620875653,41.85,-87.65,48.92,0,33,3.8
487,Tocopilla,CL,1620876113,-22.092,-70.1979,66.42,65,78,7.34
488,Shimoda,JP,1620876327,34.6667,138.95,68.0,100,95,21.63
489,La Unión,PE,1620876327,-5.4,-80.75,71.58,11,67,12.46
490,Son La,VN,1620875954,21.3167,103.9,86.09,13,57,1.45
491,Maragogi,BR,1620876327,-9.0122,-35.2225,76.21,24,88,6.42
492,Ixtapa,MX,1620876123,20.7,-105.2,80.19,20,78,6.91
493,Castillo,DO,1620876327,19.2082,-70.0273,76.05,45,95,2.19
494,Butembo,CD,1620876328,0.15,29.2833,56.34,88,97,2.66
495,Marsá Maţrūḩ,EG,1620876328,31.3525,27.2453,64.6,0,58,1.88
496,Vuktyl,RU,1620875970,63.8567,57.3094,51.33,45,68,5.06
497,Hofn,IS,1620875867,64.2539,-15.2082,35.94,14,67,0.94
498,Ayan,RU,1620875889,56.45,138.1667,36.57,14,77,7.65
499,Mindelo,CV,1620876328,16.8901,-24.9804,70.97,20,80,20.94
500,Sabang,ID,1620876329,5.8933,95.3214,84.13,50,71,2.98
501,Zhanakorgan,KZ,1620876329,43.9098,67.2495,69.73,0,20,21.14
502,Terrasini,IT,1620876329,38.146,13.0844,60.42,20,67,6.91
503,Ashtian,IR,1620876329,34.5217,50.0019,58.21,70,52,2.68
504,Olkhovka,RU,1620876330,53.2115,60.6069,66.04,11,38,7.92
505,Davila,PH,1620876330,18.4726,120.5763,89.51,1,66,7.11
506,Stephenville,US,1620876330,32.2207,-98.2023,56.26,90,89,3.44
507,Tyup,KG,1620876331,42.7276,78.3648,48.27,12,56,1.81
508,Porto-Vecchio,FR,1620876331,41.591,9.2795,63.86,0,85,10.38
509,Ossora,RU,1620876332,59.2353,163.0719,34.3,63,82,3.33
510,Seoul,KR,1620875811,37.5683,126.9778,79.95,0,35,3.96
511,Sambava,MG,1620876332,-14.2667,50.1667,72.19,85,81,8.97
512,Koungheul,SN,1620875900,13.9833,-14.8,82.33,99,63,9.37
513,Mahibadhoo,MV,1620876333,3.7833,72.9667,82.6,100,82,21.41
514,Saint-Leu,RE,1620876333,-21.15,55.2833,74.05,3,74,3.87
515,Alugan,PH,1620876334,12.2188,125.4808,83.73,21,77,10.56
516,Honningsvåg,NO,1620876334,70.9821,25.9704,38.93,67,96,7.76
517,Husavik,IS,1620875974,66.0449,-17.3389,26.51,88,68,8.72
518,Kavaratti,IN,1620876334,10.5669,72.642,82.6,100,76,6.58
519,Great Yarmouth,GB,1620876334,52.6083,1.7305,48.94,84,87,9.69
520,Tazmalt,DZ,1620876335,36.3868,4.3989,57.04,1,50,2.68
521,Malakwal,PK,1620876335,32.5536,73.2123,76.66,64,58,9.98
522,Galle,LK,1620876104,6.0367,80.217,83.3,100,81,11.39
523,Okhotsk,RU,1620875954,59.3833,143.3,38.7,99,66,7.99
524,Agadez,NE,1620876336,19.75,10.25,86.81,0,9,9.4
525,Samarai,PG,1620876336,-10.6167,150.6667,84.76,75,71,13.13
526,Nouadhibou,MR,1620875964,20.931,-17.0347,66.16,0,82,20.71
527,Shahr-e Bābak,IR,1620876336,30.1165,55.1186,64.45,1,39,0.63
528,Laas,IT,1620875900,46.6166,10.7002,42.85,99,96,5.88
529,Coruripe,BR,1620876336,-10.1256,-36.1756,75.47,63,87,5.82
530,Los Llanos de Aridane,ES,1620876337,28.6585,-17.9182,62.11,20,84,15.46
531,Las Vegas,US,1620875874,36.175,-115.1372,84.29,1,6,13.8
532,Xai-Xai,MZ,1620876337,-25.0519,33.6442,60.57,0,86,6.4
533,Nhulunbuy,AU,1620876314,-12.2333,136.7667,87.8,20,51,17.27
534,Yining,CN,1620876337,29.0361,114.5636,75.83,100,89,2.44
535,Pilar,BR,1620876338,-9.5972,-35.9567,71.96,60,95,1.41
536,Tessalit,ML,1620876338,20.1986,1.0114,86.29,23,11,8.3
537,Raudeberg,NO,1620875853,61.9875,5.1352,45.86,94,90,18.66
538,Mabaruma,GY,1620876338,8.2,-59.7833,72.82,82,95,3.2
539,Mahrīz,IR,1620876339,31.5917,54.4318,54.19,1,47,2.01
540,Namalenga,TZ,1620876339,-10.95,39.1,62.71,84,95,0.65
541,Coahuayana Viejo,MX,1620876339,18.7333,-103.6833,78.03,43,80,1.39
542,Bahía Blanca,AR,1620876105,-38.7196,-62.2724,56.34,0,59,9.91
543,Nome,US,1620875900,64.5011,-165.4064,48.16,90,66,4.61
544,Campoverde,PE,1620876340,-8.4753,-74.8058,72.21,69,97,0.78
545,Rawson,AR,1620876052,-43.3002,-65.1023,56.37,71,51,5.66
546,Mlonggo,ID,1620876341,-6.5333,110.7,87.62,97,57,1.99
547,Evensk,RU,1620875954,61.95,159.2333,37.44,3,63,1.92
548,Burgos,ES,1620876341,42.3394,-3.7079,29.19,0,100,2.3
549,Milas,TR,1620876342,37.3164,27.7839,49.32,0,44,3.78
550,Labuhan,ID,1620876342,-6.8844,112.2051,85.19,100,67,5.14
551,Pagouria,GR,1620876343,41.0291,25.3184,52.75,17,54,4.12
552,Oktyabr'skiy,RU,1620876343,54.4815,53.471,63.41,6,50,3.04
553,Toamasina,MG,1620876343,-18.1667,49.3833,71.49,40,94,4.61
554,Vinci,IT,1620876344,43.7789,10.9224,54.79,83,90,2.57
555,Bairiki Village,KI,1620875906,1.3292,172.9752,87.71,75,76,9.64
556,Tahe,CN,1620876344,52.3333,124.7333,40.95,100,94,5.91
557,Ponorogo,ID,1620876344,-7.8685,111.462,85.73,86,63,5.59
558,Conakry,GN,1620876344,9.538,-13.6773,79.57,100,80,6.2
559,Cayenne,GF,1620876345,4.9333,-52.3333,76.95,99,90,7.96
560,Treinta y Tres,UY,1620876345,-33.2333,-54.3833,44.76,0,77,6.51
561,Mīrābād,AF,1620876345,30.4362,61.8383,78.1,0,21,28.03
562,Komoro,JP,1620876345,36.3167,138.4333,63.95,98,79,6.31
563,Les Cayes,HT,1620876346,18.2,-73.75,77.49,10,82,4.61
564,Olpād,IN,1620876346,21.3333,72.75,85.95,94,53,12.01
565,Katherine,AU,1620875985,-14.4667,132.2667,84.76,0,22,10.71
566,Chaklāsi,IN,1620876346,22.65,72.9333,87.33,45,46,8.9
567,Boz,FR,1620876347,46.4071,4.9109,46.81,100,95,9.4
568,Chunoyar,RU,1620876347,57.4467,97.3217,51.96,1,30,4.65
569,Gobabis,NA,1620876347,-22.45,18.9667,55.18,0,42,9.22
570,Knysna,ZA,1620876348,-34.0363,23.0471,49.91,4,80,1.81
